PRODUTO,NOME,PREÇO (R$)
LEITE INTEGRAL 1L,LEITE UHT INTEGRAL QUALITÁ CAIXA COM TAMPA 1L,4.79
LEITE INTEGRAL 1L,LEITE UHT INTEGRAL QUATÁ CAIXA COM TAMPA 1L,4.99
LEITE INTEGRAL 1L,LEITE UHT INTEGRAL JUSSARA CAIXA COM TAMPA 1L,4.99
LEITE INTEGRAL 1L,LEITE UHT INTEGRAL ZERO LACTOSE JUSSARA GARRAFA 1L,5.79
LEITE INTEGRAL 1L,LEITE PASTEURIZADO TIPO A INTEGRAL XANDÔ GARRAFA 1L,8.99
LEITE INTEGRAL 1L,LEITE UHT INTEGRAL ZERO LACTOSE LEITÍSSIMO GARRAFA 1L,10.99
LEITE INTEGRAL 1L,LEITE PASTEURIZADO HOMOGENEIZADO TIPO A INTEGRAL FAZENDA BELA VISTA GARRAFA 1L,9.49
LEITE INTEGRAL 1L,LEITE PASTEURIZADO HOMOGENEIZADO TIPO A A2 INTEGRAL XANDÔ GARRAFA 1L,10.79
LEITE INTEGRAL 1L,LEITE PASTEURIZADO TIPO A A2 INTEGRAL FAZENDA BELA VISTA 1L,9.49
LEITE INTEGRAL 1L,LEITE LONGA VIDA INTEGRAL GLÓRIA 1L,0.0
LEITE INTEGRAL 1L,LEITE INTEGRAL NINHO ZERO LACTOSE 1L,0.0
LEITE INTEGRAL 1L,LEITE UHT INTEGRAL PARMALAT CAIXA COM TAMPA 1L,0.0
LEITE INTEGRAL 1L,LEITE UHT INTEGRAL NINHO FORTI+ CAIXA COM TAMPA 1L,0.0
LEITE INTEGRAL 1L,LEITE UHT INTEGRAL PIRACANJUBA CAIXA COM TAMPA 1L,0.0
LEITE INTEGRAL 1L,LEITE UHT INTEGRAL PAULISTA CAIXA COM TAMPA 1L,0.0
LEITE INTEGRAL 1L,NOT MILK INTEGRAL LEITE VEGETAL 1L,0.0
LEITE INTEGRAL 1L,LEITE UHT INTEGRAL QUALITÁ GARRAFA 1L,0.0
LEITE INTEGRAL 1L,LEITE UHT INTEGRAL ORGÂNICO TIMBAÚBA CAIXA COM TAMPA 1L,0.0
FEIJAO CARIOCA 1KG,FEIJÃO CARIOCA TIPO 1 CAMIL PACOTE 1KG,9.99
FEIJAO CARIOCA 1KG,FEIJÃO CARIOCA TIPO 1 NENE PACOTE 1KG,8.99
FEIJAO CARIOCA 1KG,FEIJÃO CARIOCA BROTO LEGAL PACOTE 1KG,10.99
FEIJAO CARIOCA 1KG,FEIJÃO CARIOCA TIPO 1 CORES QUALITÁ PACOTE 1KG,9.99
FEIJAO CARIOCA 1KG,FEIJÃO CARIOCA TIPO 1 PANTERA PREMIUM PACOTE 1KG,10.99
FEIJAO CARIOCA 1KG,FEIJÃO CARIOCA EMPÓRIO SÃO JOÃO 1KG,9.49
FEIJAO CARIOCA 1KG,FEIJÃO CARIOCA TIPO 1 CALDO NOBRE PACOTE 1KG,8.79
FEIJAO CARIOCA 1KG,FEIJÃO CARIOCA TIPO 1 PRA VALER PACOTE 1KG,9.49
FEIJAO CARIOCA 1KG,KIT BACON TABLETE SEARA GOURMET  + FEIJÃO CARIOCA CAMIL 1KG,29.17
FEIJAO CARIOCA 1KG,KIT BACON TABLETE SEARA GOURMET  + FEIJÃO CARIOCA CAMIL 1KG + LINGUIÇA FININHA SEARA,39.16
FEIJAO CARIOCA 1KG,FEIJÃO CARIOCA TIPO 1 KICALDO PACOTE 1KG,0.0
FEIJAO CARIOCA 1KG,FEIJÃO CARIOCA TIPO 1 SABOR MÁXIMO PACOTE 1KG,0.0
ARROZ BRANCO 5KG,ARROZ BRANCO TIPO 1 QUALITÁ PACOTE 5KG,15.99
ARROZ BRANCO 5KG,ARROZ BRANCO TIPO 1 SOLITO PACOTE 5KG,18.99
ARROZ BRANCO 5KG,ARROZ BRANCO TIPO 1 PRA VALER PACOTE 5KG,15.99
FARINHA DE MANDIOCA 500G,FARINHA DE MANDIOCA QUALITÁ 500G,8.79
FARINHA DE MANDIOCA 500G,FARINHA DE MANDIOCA CRUA YOKI PACOTE 500G,8.29
FARINHA DE MANDIOCA 500G,FARINHA DE MANDIOCA TORRADA FINA DEUSA 500G,7.49
FARINHA DE MANDIOCA 500G,FARINHA DE MANDIOCA TIPO 1 FINA KISABOR PACOTE 500G,6.89
FARINHA DE MANDIOCA 500G,FARINHA DE MANDIOCA BIJU DEUSA 500G,0.0
FARINHA DE MANDIOCA 500G,FARINHA DE MANDIOCA BRANCA DEUSA 500G,0.0
FARINHA DE MANDIOCA 500G,FARINHA DE MANDIOCA TORRADA YOKI PACOTE 500G,0.0
FARINHA DE MANDIOCA 500G,FARINHA DE MANDIOCA BIJU YOKI PACOTE 500G,0.0
FARINHA DE MANDIOCA 500G,FARINHA DE MANDIOCA TIPO 1 GROSSA KISABOR PACOTE 500G,0.0
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO TRADICIONAL PILÃO PACOTE 500G,24.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO TRADICIONAL CAFÉ BRASILEIRO PACOTE 500G,24.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO EXTRAFORTE CAFÉ BRASILEIRO PACOTE 500G,24.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO FORT PACOTE 500G,24.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO EXTRAFORTE CAFÉ PELÉ PACOTE 500G,27.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO TRADICIONAL 3 CORAÇÕES PACOTE 500G,25.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO EXTRAFORTE PILÃO PACOTE 500G,24.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO TRADICIONAL MELITTA CAIXA 500G,34.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO A VÁCUO TRADICIONAL PILÃO PACOTE 500G,24.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO EXTRAFORTE 3 CORAÇÕES PACOTE 500G,25.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO TRADICIONAL CAFÉ PELÉ PACOTE 500G,27.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO TRADICIONAL CABOCLO PACOTE 500G,26.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO EXTRAFORTE MELITTA CAIXA 500G,34.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO TRADICIONAL UNIÃO PACOTE 500G,27.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO INTENSO PILÃO PACOTE 500G,24.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO A VÁCUO EXTRAFORTE PILÃO PACOTE 500G,24.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO A VÁCUO TRADICIONAL CAFÉ BRASILEIRO PACOTE 500G,24.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO A VÁCUO TRADICIONAL 3 CORAÇÕES PACOTE 500G,25.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO EXTRAFORTE QUALITÁ PACOTE 500G,24.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO TRADICIONAL MELITTA PACOTE 500G,34.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO EXTRAFORTE EVOLUTTO PACOTE 500G,35.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO A VÁCUO PILÃO 252 GRAUS PACOTE 500G,24.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO A VÁCUO EXTRAFORTE CAFÉ PELÉ PACOTE 500G,27.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO ITALIANO PILÃO CAFETERIA ESPECIALIDADES PACOTE 500G,22.74
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO ESPRESSO PILÃO CAFETERIA ESPECIALIDADES PACOTE 500G,22.74
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO A VÁCUO INTENSO PILÃO PACOTE 500G,24.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO TRADICIONAL PILÃO POUCH 500G,33.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO A VÁCUO TRADICIONAL CABOCLO PACOTE 500G,26.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO EXTRAFORTE UNIÃO PACOTE 500G,27.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO SUPERIOR EVOLUTTO PREMIUM PACOTE 500G,33.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO A VÁCUO EXTRAFORTE 3 CORAÇÕES PACOTE 500G,25.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO A VÁCUO EXTRAFORTE CABOCLO PACOTE 500G,26.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO MELITTA SABOR DA FAZENDA CAIXA 500G,37.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO A VÁCUO EXTRAFORTE CAFÉ BRASILEIRO PACOTE 500G,24.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO PILÃO 252 GRAUS POUCH 500G,33.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO TRADICIONAL SELETO PACOTE 500G,26.99
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO A VÁCUO 3 CORAÇÕES ESTRADA REAL PREMIUM PACOTE 500G,42.99
CAFE EM PO 500G,"COMPRE 1 CAFÉ TORRADO E MOÍDO TRADICIONAL UNIÃO 500G  + CAFÉ TORRADO E MOÍDO EXTRA FORTE  UNIÃO 500 +  R$0,01 LEVE 1  AÇUCAR REFINADO UNIÃO 1KG",59.77
CAFE EM PO 500G,"COMPRE 2 CAFÉ TORRADO E MOÍDO EXTRA FORTE  UNIÃO 500G  + R$0,01 LEVE 1  AÇUCAR REFINADO UNIÃO 1KG",59.77
CAFE EM PO 500G,"COMPRE 2 CAFÉ TORRADO E MOÍDO TRADICIONAL UNIÃO 500G  + R$0,01 LEVE 1  AÇUCAR REFINADO UNIÃO 1KG",59.77
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO COADO PILÃO CAFETERIA ESPECIALIDADES PACOTE 500G,0.0
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO EXTRAFORTE PILÃO POUCH 500G,0.0
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO CAFÉ 3 FAZENDAS PACOTE 500G,0.0
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO TRADICIONAL QUALITÁ PACOTE 500G,0.0
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO A VÁCUO TRADICIONAL UNIÃO PACOTE 500G,0.0
CAFE EM PO 500G,CAFÉ TORRADO E MOÍDO A VÁCUO EXTRAFORTE UNIÃO PACOTE 500G,0.0
